,País,FELICIDAD,Ranking FELICIDAD,Viejo Indice Felicidad,Viejo Ranking Felicidad,AMOR,Ranking AMOR,Parejas Viviendo Juntas (%),SALUD,Ranking SALUD,Esperanza de Vida media (años),Gasto Médico Privado (%),DINERO,Ranking DINERO,PIB medio ($),Ingreso diario menor 5.5$ (%),Indice GINI,SOCIAL,Ranking SOCIAL,Nº Parados (%),Suicidios (por 100k),Asesinatos (por 100k),Indice Libertad,Indice Desarrollo,Percepción Corrupción,Consumo de Alcohol (litros),Continente,Religión
0,Netherlands,91.91,1,74.27,6,1.0,2,66.82,0.88,5,81.48,13.6,0.85,8,45640,0.3,28.11,0.95,2,5.54,8.22,0.78,1.0,0.93,83.17,9.75,Europa,Cristianismo
1,Norway,88.89,2,75.65,2,0.69,13,60.96,0.89,4,82.16,16.1,0.98,2,74100,0.35,26.81,1.0,1,3.74,9.95,0.86,1.0,0.95,85.83,8.35,Europa,Cristianismo
2,Denmark,87.13,3,75.57,3,0.86,5,64.15,0.8,11,80.63,14.9,0.88,5,53640,0.4,28.08,0.95,3,6.59,8.52,0.65,1.0,0.93,90.33,12.0,Europa,Cristianismo
3,Sweden,85.83,4,73.5,7,0.79,9,62.84,0.86,6,82.41,18.9,0.85,7,50830,0.91,28.77,0.94,5,7.47,10.38,0.88,1.0,0.93,87.5,9.5,Europa,Cristianismo
4,Iceland,84.1,5,75.16,5,0.59,25,59.15,0.92,2,83.47,19.3,0.9,4,52890,0.16,26.53,0.94,4,4.68,11.12,0.48,1.0,0.93,78.83,7.38,Europa,Cristianismo
5,Luxembourg,83.96,6,69.7,14,0.64,16,60.07,0.89,3,82.11,15.6,1.0,1,106300,0.38,33.0,0.83,13,5.58,8.85,0.83,1.0,0.91,81.67,12.8,Europa,Cristianismo
6,New Zealand,83.56,7,73.07,9,0.95,4,65.88,0.83,7,81.52,16.8,0.68,22,38120,2.71,34.33,0.88,10,5.5,11.56,1.31,1.0,0.92,90.33,9.99,Oceania,Cristianismo
7,Switzerland,81.88,8,75.55,4,0.86,6,64.15,0.56,22,83.49,41.0,0.93,3,84800,0.08,32.5,0.93,6,4.69,11.22,0.54,1.0,0.95,85.67,11.4,Europa,Cristianismo
8,Canada,81.12,9,73.35,8,1.0,1,66.89,0.66,16,82.12,29.5,0.74,16,43330,0.67,33.41,0.84,11,6.86,10.77,1.32,1.0,0.92,82.17,10.2,America,Cristianismo
9,Australia,78.98,10,72.55,10,0.84,8,63.79,0.66,17,82.69,32.0,0.78,15,56390,0.7,34.47,0.89,9,5.51,10.16,1.09,1.0,0.94,80.17,10.2,Oceania,Cristianismo
10,Germany,78.65,11,69.57,16,0.78,10,62.61,0.69,14,80.92,22.9,0.78,14,41060,0.2,31.3,0.91,7,4.74,8.58,0.5,1.0,0.94,79.83,12.1,Europa,Cristianismo
11,United Kingdom,77.68,12,68.73,18,0.67,14,60.68,0.81,9,80.98,16.1,0.74,19,44980,0.64,34.23,0.89,8,5.95,6.27,0.29,1.0,0.92,78.67,13.2,Europa,Cristianismo
12,Japan,77.48,13,59.17,28,0.63,21,59.81,1.0,1,84.12,17.5,0.72,20,34680,0.85,32.74,0.75,15,3.57,17.45,0.3,1.15,0.91,74.0,7.79,Asia,Sintoismo
13,France,76.15,14,65.43,21,0.86,7,64.14,0.81,10,82.43,22.1,0.74,18,36920,0.2,32.59,0.65,21,9.45,12.6,0.61,1.2,0.89,70.0,12.5,Europa,Cristianismo
14,Belgium,74.54,15,69.07,17,0.75,11,62.15,0.65,19,80.94,25.3,0.84,9,40970,0.31,27.69,0.75,16,7.46,14.61,1.11,1.0,0.92,75.83,10.4,Europa,Cristianismo
15,Finland,72.59,16,75.85,1,0.63,17,59.81,0.68,15,81.36,24.9,0.86,6,44100,0.14,27.26,0.73,18,8.16,15.52,1.73,1.0,0.93,88.67,13.1,Europa,Cristianismo
16,Austria,71.68,17,71.77,12,0.57,27,58.8,0.74,13,81.55,22.5,0.79,12,44780,0.87,30.57,0.76,14,5.18,11.08,0.51,1.0,0.91,72.67,12.4,Europa,Cristianismo
17,Spain,70.18,18,63.47,23,0.71,12,61.43,0.74,12,82.73,27.2,0.61,28,26010,2.8,35.46,0.74,17,20.49,5.58,0.63,1.0,0.89,59.5,11.8,Europa,Cristianismo
18,Ireland,68.13,19,70.0,13,0.58,26,58.99,0.59,21,81.48,30.8,0.82,10,57410,0.88,32.26,0.73,19,10.65,10.72,0.83,1.0,0.93,72.83,14.9,Europa,Cristianismo
19,Portugal,67.57,20,53.78,34,0.95,3,65.98,0.56,23,81.2,31.9,0.6,29,19730,2.67,35.14,0.6,23,11.49,6.9,0.96,1.0,0.85,62.83,13.9,Europa,Cristianismo
20,Italy,67.01,21,60.43,25,0.55,28,58.39,0.82,8,82.71,22.4,0.64,26,31160,2.88,35.3,0.67,20,10.77,4.88,0.71,1.1,0.88,44.83,9.72,Europa,Cristianismo
21,Israel,63.55,22,72.02,11,0.63,23,59.81,0.52,24,82.54,39.7,0.57,30,35830,3.34,40.01,0.83,12,5.66,5.03,2.06,1.75,0.91,61.33,2.52,Asia,Judaismo
22,Slovenia,54.49,23,59.92,27,0.23,32,52.2,0.62,20,80.81,26.3,0.81,11,21450,0.14,25.09,0.52,25,7.71,15.67,0.64,1.0,0.9,59.67,14.9,Europa,Cristianismo
23,Greece,53.38,24,52.4,35,0.65,15,60.23,0.38,28,80.83,40.6,0.57,31,18700,5.13,34.84,0.54,24,21.55,3.15,1.11,1.85,0.87,42.83,11.0,Europa,Cristianismo
24,Czech Republic,52.46,25,66.43,20,0.17,33,51.17,0.65,18,78.79,16.3,0.78,13,17850,0.48,25.77,0.5,27,5.02,11.17,0.73,1.0,0.89,52.67,16.5,Europa,Cristianismo
25,Poland,49.47,26,60.32,26,0.52,29,57.72,0.37,29,77.46,27.4,0.63,27,12610,2.28,31.84,0.46,29,7.43,13.12,0.89,1.3,0.86,60.67,14.4,Europa,Cristianismo
26,South Korea,49.17,27,58.82,29,0.63,20,59.81,0.47,25,82.18,41.0,0.71,21,28510,1.1,31.49,0.16,33,3.34,22.82,1.1,1.85,0.9,54.5,19.1,Asia,Cristianismo
27,United States,47.83,28,69.62,15,0.61,24,59.5,0.15,33,78.98,46.9,0.65,23,56350,1.71,41.02,0.5,26,6.23,10.15,6.46,1.15,0.92,74.17,9.7,America,Cristianismo
28,Turkey,42.77,29,54.12,33,0.63,18,59.81,0.41,27,77.38,24.8,0.36,33,10608,10.89,41.04,0.32,30,10.27,1.9,1.36,4.1,0.79,44.5,3.02,Europa,Islam
29,Chile,42.62,30,65.17,22,0.63,22,59.81,0.11,34,79.55,51.8,0.35,34,13240,6.82,45.13,0.62,22,7.0,10.77,1.32,1.05,0.83,69.83,8.81,America,Cristianismo
30,Estonia,42.39,31,56.93,31,0.32,31,53.93,0.46,26,77.28,21.3,0.64,25,17470,2.36,32.2,0.27,31,8.35,14.21,4.5,1.0,0.87,68.67,17.2,Europa,Cristianismo
31,Hungary,36.34,32,54.53,32,0.44,30,56.15,0.21,32,75.86,30.6,0.65,24,12700,2.91,30.23,0.16,32,7.43,16.83,1.17,2.05,0.84,51.17,16.1,Europa,Cristianismo
32,Slovak Republic,36.16,33,61.42,24,0.01,34,48.0,0.22,31,76.83,34.1,0.74,17,16100,2.54,26.09,0.48,28,11.1,8.95,0.95,1.1,0.85,49.17,13.3,Europa,Cristianismo
33,Mexico,22.89,34,66.57,19,0.63,19,59.81,0.24,30,75.54,27.09,0.0,35,9493,30.84,47.17,0.04,34,4.34,10.77,1.32,3.0,0.76,32.17,8.55,America,Cristianismo
34,Latvia,13.51,35,57.68,30,0.0,35,47.87,0.0,35,74.86,38.9,0.54,32,13540,5.25,35.09,0.0,35,11.54,17.34,5.8,1.9,0.85,54.67,13.4,Europa,Cristianismo
