,País,Ranking FELICIDAD,Viejo Ranking Felicidad,Ranking AMOR,Ranking SALUD,Ranking DINERO,Ranking SOCIAL
0,Netherlands,1,6,2,5,8,2
1,Norway,2,2,13,4,2,1
2,Denmark,3,3,5,11,5,3
3,Sweden,4,7,9,6,7,5
4,Iceland,5,5,25,2,4,4
5,Luxembourg,6,14,16,3,1,13
6,New Zealand,7,9,4,7,22,10
7,Switzerland,8,4,6,22,3,6
8,Canada,9,8,1,16,16,11
9,Australia,10,10,8,17,15,9
10,Germany,11,16,10,14,14,7
11,United Kingdom,12,18,14,9,19,8
12,Japan,13,28,21,1,20,15
13,France,14,21,7,10,18,21
14,Belgium,15,17,11,19,9,16
15,Finland,16,1,17,15,6,18
16,Austria,17,12,27,13,12,14
17,Spain,18,23,12,12,28,17
18,Ireland,19,13,26,21,10,19
19,Portugal,20,34,3,23,29,23
20,Italy,21,25,28,8,26,20
21,Israel,22,11,23,24,30,12
22,Slovenia,23,27,32,20,11,25
23,Greece,24,35,15,28,31,24
24,Czech Republic,25,20,33,18,13,27
25,Poland,26,26,29,29,27,29
26,South Korea,27,29,20,25,21,33
27,United States,28,15,24,33,23,26
28,Turkey,29,33,18,27,33,30
29,Chile,30,22,22,34,34,22
30,Estonia,31,31,31,26,25,31
31,Hungary,32,32,30,32,24,32
32,Slovak Republic,33,24,34,31,17,28
33,Mexico,34,19,19,30,35,34
34,Latvia,35,30,35,35,32,35
