,País,Indice Felicidad,Nuevo Indice Felicidad,Ranking Viejo,Ranking Nuevo
0,Norway,0.98,1.0,4,1
1,Netherlands,0.95,0.95,6,2
2,Denmark,1.0,0.93,1,3
3,Iceland,0.97,0.93,5,4
4,Switzerland,0.98,0.91,3,5
5,Sweden,0.92,0.9,8,6
6,Luxembourg,0.81,0.89,13,7
7,New Zealand,0.89,0.84,10,8
8,Australia,0.9,0.83,9,9
9,Germany,0.77,0.82,18,10
10,Canada,0.93,0.81,7,11
11,United Kingdom,0.78,0.79,17,12
12,Finland,0.98,0.77,2,13
13,Austria,0.89,0.76,11,14
14,Japan,0.46,0.75,30,15
15,Belgium,0.78,0.75,16,16
16,Malta,0.61,0.71,23,17
17,France,0.68,0.68,20,18
18,Ireland,0.8,0.67,15,19
19,Israel,0.87,0.65,12,20
20,Italy,0.51,0.57,25,21
21,Czech Republic,0.68,0.54,21,22
22,Spain,0.59,0.53,24,23
23,Slovenia,0.48,0.52,27,24
24,Cyprus,0.48,0.51,29,25
25,Portugal,0.27,0.49,37,26
26,United States,0.81,0.47,14,27
27,Poland,0.46,0.42,31,28
28,South Korea,0.48,0.41,28,29
29,Chile,0.65,0.37,22,30
30,Slovak Republic,0.51,0.34,26,31
31,Croatia,0.32,0.34,36,32
32,Estonia,0.37,0.31,33,33
33,Greece,0.24,0.28,39,34
34,Hungary,0.23,0.23,40,35
35,Turkey,0.26,0.21,38,36
36,Romania,0.34,0.19,35,37
37,Lithuania,0.42,0.13,32,38
38,Bulgaria,0.0,0.07,41,39
39,Mexico,0.72,0.05,19,40
40,Latvia,0.35,0.0,34,41
