country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Afghanistan,,,,,,,,,,,,,,,,,,,,,0.02,,,0.03
Angola,,,,,,,,,,,,,,,,,,,,,5.4,,,5.57
Albania,,,,,,,,,,,,,,,,,,,,,6.68,,,7.29
Andorra,,,,,,,,,,,,,,,,,,,,,15.5,,,10.2
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,0.54,,,0.52
Argentina,,,,,,,,,,,,,,,,,,,,,10,,,9.35
Armenia,,,,,,,,,,,,,,,,,,,,,11.3,,,13.7
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,7.22,,,8.17
Australia,,,,,,,,,,,,,,,,,,,,,10,,,10.2
Austria,,,,,,,,,,12.6,,,,,,,,,,,13.2,,,12.4
Azerbaijan,,,,,,,,,,,,,,,,,,,,,10.6,,,13.3
Burundi,,,,,,,,,,,,,,,,,,,,,9.47,,,9.65
Belgium,,,,,,,,,,,,,,,,,,,,,10.8,,,10.4
Benin,,,,,,,,,,,,,,,,,,,,,2.15,,,2.08
Burkina Faso,,,,,,,,,,,,,,,,,,,,,6.98,,,7.32
Bangladesh,,,,,,,,,,,,,,,,,,,,,0.17,,,0.17
Bulgaria,,,,,,,,,,,,,,,,,,,,,12.4,,,11.4
Bahrain,,,,,,,,,,,,,,,,,,,,,3.66,,,4.19
Bahamas,,,,,,,,,,,,,,,,,,,,,8.76,,,8.65
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,9.63,,,9.6
Belarus,,,,,,,,,,,,,,,,,,,,,15.1,,,18.9
Belize,,,,,,,,,,,,,,,,,,,,,6.07,,,5.92
Bolivia,,,,,,,,,,,,,,,,,,,,,5.12,,,5.78
Brazil,,,,,,,,,,,,14,,,,,,,,,9.16,,,10.1
Barbados,,,,,,,,,,,,,,,,,,,,,6.91,,,6.42
Brunei,,,,,,,,,,,,,,,,,,,,,2.01,,,1.86
Bhutan,,,,,,,,,,,,,,,,,,,,,0.55,,,0.54
Botswana,,,,,,,,,,,,,,,,,,,,,7.96,,,6.97
Central African Republic,,,,,,,,,,,,,,,,,,,,,3.35,,,3.17
Canada,,,,,,,,,,,,,,,,,,,,,9.77,,,10.2
Switzerland,,,,,,,,,,,,,,,,,,,,,11.1,,,11.4
Chile,,,,,,9.43,,,,,,,,,,,,,,,8.55,,,8.81
China,,,,,,,,,,,,,,,,,,,,,5.91,,,5.56
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,6.48,,,6.47
Cameroon,,,,,,,,,,,,,,,,,,,,,7.57,,,7.9
